Occupation,Total,Male,Female
Total,100,100,100
Legislators senior officials,0.7,1.3,0.2
Professionals,2.1,3.5,0.9
Technicians,2.4,3.2,1.6
Clerks,1.2,2.1,0.4
Service workers,23.8,27.1,19.5
Agriculture workers,20.1,17.6,23.7
Craft & related trades,13.8,18.3,8.2
Plant & machine operators,1.9,3.6,0.3
Elementary occupations,20.2,23.4,16.1
Armed forces,0.1,0.2,0.0
