Occupation,Male,Female,Total
Total,48,39,44
Legislators senior officials,48,49,48
Professionals,41,40,41
Technicians,44,42,44
Clerks,43,42,43
Service workers,51,43,47
Agriculture workers,37,32,34
Craft & related trades,51,35,47
Plant & machine operators,54,37,53
Elementary occupations,48,40,45
