Occupation,Total,Male,Female
Total,100.0,100.0,100.0
Legislators senior officials,0.1,0.2,0.0
Professionals,0.4,0.7,0.1
Technicians,2.2,3.5,0.9
Clerks,1.1,2.0,0.2
Service workers,5.2,6.9,3.5
Agriculture workers,2.9,3.1,2.8
Craft & related trades,5.9,8.4,3.5
Plant & machine operators,1.1,2.0,0.3
Elementary occupations,13.6,16.1,11.0
Armed forces,0.1,0.1,0.0
