Occupation,Total,Male,Female
Total,39.4,42.6,36.3
Legislators senior officials,51.0,51.8,41.4
Professionals,39.7,40.1,36.3
Technicians,39.5,39.6,39.0
Clerks,44.1,44.4,41.6
Service workers,51.1,53.3,46.6
Agriculture workers,37.9,39.6,36.6
Craft & related trades,42.7,46.5,33.8
Plant & machine operators,48.0,52.2,21.0
Elementary occupations,40.2,46.1,31.5
Armed forces,48.5,48.5,49.0
