Occupation,Total,Male,Female
Total,2143,2389,1368
Legislators senior officials,8037,8068,7525
Professionals,5079,5141,4631
Technicians,2971,3057,2678
Clerks,2832,2836,2805
Service workers,2507,2506,2525
Agriculture workers,2109,2756,957
Craft & related trades,2773,2973,1393
Plant & machine operators,2981,2995,2037
Elementary occupations,1491,1692,1054
Armed forces,3306,3258,4250
