Occupation,Total,Male,Female
Total,5117,5721,3402
Legislators senior officials,16142,16888,12313
Professionals,9484,10468,6478
Technicians,6001,6878,4649
Clerks,7243,7566,5630
Service workers,6246,6747,4251
Agriculture workers,4554,4847,2472
Craft & related trades,5186,5390,3520
Plant & machine operators,6248,6211,6928
Elementary occupations,3032,3478,2278
Armed forces,7222,7300,6077
