Occupation,Total,Male,Female
Total,100,100,100
Legislators senior officials,0.6,1.1,0.2
Professionals,1.7,2.8,0.8
Technicians,2.0,2.7,1.3
Clerks,1.0,1.8,0.3
Service workers,7.3,9.3,5.5
Agriculture workers,3.1,2.7,3.5
Craft & related trades,8.4,11.6,5.5
Plant & machine operators,1.4,2.7,0.2
Elementary occupations,10.5,12.2,9.1
Armed forces,0.1,0.1,0.0
