"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2020",140.148,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 7. Craft and related trades workers","Currency: U.S. dollars","2020",112.322,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","Currency: U.S. dollars","2020",166.715,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 9. Elementary occupations","Currency: U.S. dollars","2020",113.04,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): 0. Armed forces occupations","Currency: U.S. dollars","2020",199.676,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Male","Occupation (ISCO-08): X. Not elsewhere classified","Currency: U.S. dollars","2020",290.738,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): Total","Currency: U.S. dollars","2020",141.164,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 1. Managers","Currency: U.S. dollars","2020",188.061,"Unreliable",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 2. Professionals","Currency: U.S. dollars","2020",117.818,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 3. Technicians and associate professionals","Currency: U.S. dollars","2020",219.937,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
